channel_id,last_date,status
UCPhpnmX5NGT-uOPZPUUdSBQ,2019-12-20 16:10:15,to do
UCqZ9p_jwtfpRlS2KNRif-nw,2019-12-20 16:10:15,to do
UC1YLhNPO5d4sv4ClgWShvGw,2019-12-20 16:10:15,to do
UCtZlbmI_uoDNTjVNejL_kfA,2019-12-20 16:11:50,to do
UCb4_NZsY18tESzn-JcLUFWw,2019-12-20 16:13:23,to do
UCh4gZwRHxIetWXbJnp0XefQ,2019-12-20 16:13:23,to do
UCdouLjBw2UjXTLNecPEM_-w,2019-12-20 16:24:16,to do
UC77dD44TK_jNK9XdD2BIBIQ,2019-12-20 16:29:00,to do
UCjjVCL-hYKBWTwZePrVZkpw,2019-12-20 16:29:00,to do
UCseYhUjvqhDLvGEQLD-r5Dg,2019-12-20 16:45:14,to do
UCO8XyrXEQibkIBiP_6RSeRw,2019-12-20 16:53:21,to do
UCZuVt_VLtHWjzXF7OmBQDWw,2019-12-20 16:56:34,to do
UCbkvnnlgP5AaixPqoJtyRtg,2019-12-20 17:01:29,to do
UCH4pgep82jmDFn3ZaFz46cw,2019-12-20 17:03:10,to do
UCQ8GTGSkcCpWAph4eKaQQRQ,2019-12-20 17:03:10,to do
UCRsg6o_XHRmvGrwFujs2ywg,2019-12-20 17:03:10,to do
UCaYHjzDOqepf_oEUAYOjFLw,2019-12-20 17:04:50,to do
UC9bDn64zo4Xw1H8nsYY4ASw,2019-12-20 17:04:50,to do
UCmdQMgOofIc3tBX6OFv6Glw,2019-12-20 17:08:13,to do
UCWod7eNyDnuCMhMZJ5PJTjg,2019-12-20 17:08:13,to do
UCpSbHs_-MhHjTf94QBcGlZA,2019-12-20 17:09:53,to do
UCQ1QzuSclG1zQ0DpXFHjM8A,2019-12-20 17:09:53,to do
UCOJg2ZEkbrBGV_RzMmpfS1A,2019-12-20 17:09:53,to do
UCIY6UMozNSfiktuXH9Afb7g,2019-12-20 17:16:33,to do
UCFNvrfXo0Z3oDzNDMDL48BQ,2019-12-20 17:18:13,to do
UCKEiTu4t6o2Y9hnqOS-GUgw,2019-12-20 17:19:52,to do
UC-oZptQjNysb-MsikqQJs0w,2019-12-20 17:28:16,to do
UCzrRHeg0LL4Yha66P4ug2cQ,2019-12-20 17:33:21,to do
UCliQZ5IW5tTahHxSMvjkoKQ,2019-12-20 17:33:21,to do
UCE3ILT6VYu8qj20O5hHTf7Q,2019-12-20 17:56:04,to do
UCjiKKOnXL0nR1oJgpYj4DYA,2019-12-20 18:01:25,to do
UCUCwBiVa-U8KMtkvUKjiOQw,2019-12-20 18:20:56,to do
UCtrry2M9D3vpd6uyPq60vhQ,2019-12-20 18:22:44,to do
UC2Z5BQhJWVgLX71_frN4oTA,2019-12-20 18:29:53,to do
UCOJcul8mcfzS-jzD5oHh0sg,2019-12-20 18:33:33,to do
UCx86OhSWc5CEL6Q-uAwLgmg,2019-12-20 18:40:41,to do
UC3gVLcoMKGUtRELlzsf-8WQ,2019-12-20 19:21:00,to do
UCbdjxpNSI0dcqoxLxk3dDKw,2019-12-20 19:28:21,to do
UCTGWr_HgD_SvjlU4pFOyNeg,2019-12-20 19:28:21,to do
UCcpn1Vws2jYDN1jZUegFJ6Q,2019-12-20 19:30:15,to do
UCR3TVxER3gSMunyiXrjfLhQ,2019-12-20 19:30:15,to do
UCK9i-t1GwUeVVmddPCCdqCg,2019-12-20 19:32:06,to do
UCNllHi4wyV_6kRyasZhpGMQ,2019-12-20 19:32:06,to do
UCy-yGLc5PUmdMztM_Yz8wsQ,2019-12-20 19:33:57,to do
UC1fZc16lIfZquFuyQcFLqCg,2019-12-20 20:00:45,to do
UCuTt7t3jSynWhPRCmoa5nUw,2019-12-20 20:03:02,to do
UCRw72z6DdJzcngnSX6RQurQ,2019-12-20 20:04:53,to do
UC4PCRlU0_0vk87lAzVX-H8w,2019-12-20 20:08:40,to do
UCSVl2mD613OQNn1wSnWAnZA,2019-12-20 20:10:34,to do
UC8-8dPDuoxRrACsX9AvznXA,2019-12-20 20:12:28,to do
UCCHGmcdYWtvruT5qUUrvZwg,2019-12-20 20:16:14,to do
UCzu5gzhLDn_tbljNgcUY-Tg,2019-12-20 20:21:54,to do
UCT01OkEpCp62gJCnIqge-WQ,2019-12-20 20:19:59,to do
UC-YwjkdWJPqxcdg1laMfi2g,2019-12-20 20:25:44,to do
UCC4hDcaxpgVjZRHMg6gV63A,,to do
UCVoz6BXwbP4Y8LzQPSl8YSg,2019-12-20 20:47:02,to do
UC_Mt55A1Ozdd79bZgr6vLmg,2019-12-20 20:47:02,to do
UC_pGcCPfpaXZKC1zUYpBpNg,2019-12-20 20:47:02,to do
UCp229TNBMG0mnGr5-SC-2zA,2019-12-20 20:48:57,to do
UCuG3bcrIEsdG8KuqIChiO2w,2019-12-20 20:50:55,to do
UCcJmo9dEwjkjOneRbmz7qfA,2019-12-20 20:56:46,to do
UCNhVZ234EU3oVpHfLP2cijA,2019-12-20 20:56:46,to do
UC93wJEiRa0W0QoCmSa-rhcg,2019-12-20 20:56:46,to do
UCxyZBl9T_lANz5eZ0WUg1yQ,2019-12-20 20:58:44,to do
